datetime,code,open,close,high,low,vol,amount,p_change
2019/11/15,2831.722168,2831.722168,2831.722168,2831.722168,2831.722168,2831.722168,2831.722168,2831.722168
2019/11/15,2830.575439,2830.575439,2830.575439,2830.575439,2830.575439,2830.575439,2830.575439,2830.575439
2019/11/15,2825.797607,2825.797607,2825.797607,2825.797607,2825.797607,2825.797607,2825.797607,2825.797607
2019/11/18,2838.411133,2838.411133,2838.411133,2838.411133,2838.411133,2838.411133,2838.411133,2838.411133
2019/11/18,2833.824463,2833.824463,2833.824463,2833.824463,2833.824463,2833.824463,2833.824463,2833.824463
2019/11/18,2842.806885,2842.806885,2842.806885,2842.806885,2842.806885,2842.806885,2842.806885,2842.806885
2019/11/18,2852.935791,2852.935791,2852.935791,2852.935791,2852.935791,2852.935791,2852.935791,2852.935791
2019/11/18,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363
2019/11/18,2852.744629,2852.744629,2852.744629,2852.744629,2852.744629,2852.744629,2852.744629,2852.744629
2019/11/18,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363,2848.922363
2019/11/18,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585
2019/11/19,2854.273682,2854.273682,2854.273682,2854.273682,2854.273682,2854.273682,2854.273682,2854.273682
2019/11/19,2860.00708,2860.00708,2860.00708,2860.00708,2860.00708,2860.00708,2860.00708,2860.00708
2019/11/19,2863.829346,2863.829346,2863.829346,2863.829346,2863.829346,2863.829346,2863.829346,2863.829346
2019/11/19,2858.860352,2858.860352,2858.860352,2858.860352,2858.860352,2858.860352,2858.860352,2858.860352
2019/11/19,2862.109131,2862.109131,2862.109131,2862.109131,2862.109131,2862.109131,2862.109131,2862.109131
2019/11/19,2860.197998,2860.197998,2860.197998,2860.197998,2860.197998,2860.197998,2860.197998,2860.197998
2019/11/19,2858.669189,2858.669189,2858.669189,2858.669189,2858.669189,2858.669189,2858.669189,2858.669189
2019/11/19,2868.033691,2868.033691,2868.033691,2868.033691,2868.033691,2868.033691,2868.033691,2868.033691
2019/11/20,2854.08252,2854.08252,2854.08252,2854.08252,2854.08252,2854.08252,2854.08252,2854.08252
2019/11/20,2855.038086,2855.038086,2855.038086,2855.038086,2855.038086,2855.038086,2855.038086,2855.038086
2019/11/20,2851.21582,2851.21582,2851.21582,2851.21582,2851.21582,2851.21582,2851.21582,2851.21582
2019/11/20,2849.304688,2849.304688,2849.304688,2849.304688,2849.304688,2849.304688,2849.304688,2849.304688
2019/11/20,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585,2849.49585
2019/11/20,2845.864502,2845.864502,2845.864502,2845.864502,2845.864502,2845.864502,2845.864502,2845.864502
2019/11/20,2831.913574,2831.913574,2831.913574,2831.913574,2831.913574,2831.913574,2831.913574,2831.913574
2019/11/20,2835.353271,2835.353271,2835.353271,2835.353271,2835.353271,2835.353271,2835.353271,2835.353271
2019/11/21,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898
2019/11/21,2820.828857,2820.828857,2820.828857,2820.828857,2820.828857,2820.828857,2820.828857,2820.828857
2019/11/21,2825.98877,2825.98877,2825.98877,2825.98877,2825.98877,2825.98877,2825.98877,2825.98877
2019/11/21,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105
2019/11/21,2820.064209,2820.064209,2820.064209,2820.064209,2820.064209,2820.064209,2820.064209,2820.064209
2019/11/21,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076
2019/11/21,2815.095459,2815.095459,2815.095459,2815.095459,2815.095459,2815.095459,2815.095459,2815.095459
2019/11/21,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377
2019/11/22,2836.11792,2836.11792,2836.11792,2836.11792,2836.11792,2836.11792,2836.11792,2836.11792
2019/11/22,2821.975342,2821.975342,2821.975342,2821.975342,2821.975342,2821.975342,2821.975342,2821.975342
2019/11/22,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543
2019/11/22,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043
2019/11/22,2805.539795,2805.539795,2805.539795,2805.539795,2805.539795,2805.539795,2805.539795,2805.539795
2019/11/22,2795.984131,2795.984131,2795.984131,2795.984131,2795.984131,2795.984131,2795.984131,2795.984131
2019/11/22,2790.05957,2790.05957,2790.05957,2790.05957,2790.05957,2790.05957,2790.05957,2790.05957
2019/11/22,2787.001953,2787.001953,2787.001953,2787.001953,2787.001953,2787.001953,2787.001953,2787.001953
2019/11/25,2807.833008,2807.833008,2807.833008,2807.833008,2807.833008,2807.833008,2807.833008,2807.833008
2019/11/25,2813.375244,2813.375244,2813.375244,2813.375244,2813.375244,2813.375244,2813.375244,2813.375244
2019/11/25,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898
2019/11/25,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066
2019/11/25,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979
2019/11/25,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164
2019/11/25,2810.699707,2810.699707,2810.699707,2810.699707,2810.699707,2810.699707,2810.699707,2810.699707
2019/11/25,2816.051025,2816.051025,2816.051025,2816.051025,2816.051025,2816.051025,2816.051025,2816.051025
2019/11/26,2821.402344,2821.402344,2821.402344,2821.402344,2821.402344,2821.402344,2821.402344,2821.402344
2019/11/26,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678
2019/11/26,2813.184326,2813.184326,2813.184326,2813.184326,2813.184326,2813.184326,2813.184326,2813.184326
2019/11/26,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105,2816.433105
2019/11/26,2817.006592,2817.006592,2817.006592,2817.006592,2817.006592,2817.006592,2817.006592,2817.006592
2019/11/26,2815.859863,2815.859863,2815.859863,2815.859863,2815.859863,2815.859863,2815.859863,2815.859863
2019/11/26,2813.757813,2813.757813,2813.757813,2813.757813,2813.757813,2813.757813,2813.757813,2813.757813
2019/11/26,2812.22876,2812.22876,2812.22876,2812.22876,2812.22876,2812.22876,2812.22876,2812.22876
2019/11/27,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066
2019/11/27,2813.94873,2813.94873,2813.94873,2813.94873,2813.94873,2813.94873,2813.94873,2813.94873
2019/11/27,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979
2019/11/27,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539
2019/11/27,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539
2019/11/27,2808.597412,2808.597412,2808.597412,2808.597412,2808.597412,2808.597412,2808.597412,2808.597412
2019/11/27,2809.362061,2809.362061,2809.362061,2809.362061,2809.362061,2809.362061,2809.362061,2809.362061
2019/11/27,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678
2019/11/28,2815.668945,2815.668945,2815.668945,2815.668945,2815.668945,2815.668945,2815.668945,2815.668945
2019/11/28,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979,2809.552979
2019/11/28,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361
2019/11/28,2804.775146,2804.775146,2804.775146,2804.775146,2804.775146,2804.775146,2804.775146,2804.775146
2019/11/28,2799.424316,2799.424316,2799.424316,2799.424316,2799.424316,2799.424316,2799.424316,2799.424316
2019/11/28,2798.85083,2798.85083,2798.85083,2798.85083,2798.85083,2798.85083,2798.85083,2798.85083
2019/11/28,2796.557617,2796.557617,2796.557617,2796.557617,2796.557617,2796.557617,2796.557617,2796.557617
2019/11/28,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043,2801.144043
2019/11/29,2783.561768,2783.561768,2783.561768,2783.561768,2783.561768,2783.561768,2783.561768,2783.561768
2019/11/29,2780.88623,2780.88623,2780.88623,2780.88623,2780.88623,2780.88623,2780.88623,2780.88623
2019/11/29,2777.828369,2777.828369,2777.828369,2777.828369,2777.828369,2777.828369,2777.828369,2777.828369
2019/11/29,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918
2019/11/29,2756.99707,2756.99707,2756.99707,2756.99707,2756.99707,2756.99707,2756.99707,2756.99707
2019/11/29,2765.597168,2765.597168,2765.597168,2765.597168,2765.597168,2765.597168,2765.597168,2765.597168
2019/11/29,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844
